Drift,pc1,pc2,pc3,pc4,pv1,pv2,pv3,pv4,MasaPropia,Px
0.004221315870408008,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.4,6300.0,57699.70455498048
0.004123791329503544,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.6,7080.0,60071.55011771484
0.0056128468576907165,0.25,0.25,0.25,0.25,0.2,0.2,0.4,0.2,6300.0,57699.70455498048
0.004334438085071692,0.25,0.25,0.25,0.25,0.2,0.2,0.4,0.4,7080.0,60071.55011771484
0.004198881645778919,0.25,0.25,0.25,0.25,0.2,0.2,0.4,0.6,7860.0,62443.39568044922
0.005843572578323063,0.25,0.25,0.25,0.25,0.2,0.2,0.6,0.2,7080.0,60071.55011771484
0.004460881033115253,0.25,0.25,0.25,0.25,0.2,0.2,0.6,0.4,7860.0,62443.39568044922
0.00428954055682353,0.25,0.25,0.25,0.25,0.2,0.2,0.6,0.6,8640.0,64815.2412431836
0.004221315870408008,0.25,0.25,0.25,0.25,0.2,0.4,0.2,0.2,6300.0,57699.70455498048
0.00340364964010643,0.25,0.25,0.25,0.25,0.2,0.4,0.2,0.4,7080.0,60071.55011771484
0.003339736445632668,0.25,0.25,0.25,0.25,0.2,0.4,0.2,0.6,7860.0,62443.39568044922
0.004334438085071692,0.25,0.25,0.25,0.25,0.2,0.4,0.4,0.2,7080.0,60071.55011771484
0.003538038236374871,0.25,0.25,0.25,0.25,0.2,0.4,0.4,0.4,7860.0,62443.39568044922
0.003464017082894563,0.25,0.25,0.25,0.25,0.2,0.4,0.4,0.6,8640.0,64815.2412431836
0.004460881033115253,0.25,0.25,0.25,0.25,0.2,0.4,0.6,0.2,7860.0,62443.39568044922
0.003672426832643309,0.25,0.25,0.25,0.25,0.2,0.4,0.6,0.4,8640.0,64815.2412431836
0.00358830865494748,0.25,0.25,0.25,0.25,0.2,0.4,0.6,0.6,9420.0,67187.08680591796
0.004123791329503544,0.25,0.25,0.25,0.25,0.2,0.6,0.2,0.2,7080.0,60071.55011771484
0.003339736445632668,0.25,0.25,0.25,0.25,0.2,0.6,0.2,0.4,7860.0,62443.39568044922
0.0032756197697935926,0.25,0.25,0.25,0.25,0.2,0.6,0.2,0.6,8640.0,64815.2412431836
0.004198881645778919,0.25,0.25,0.25,0.25,0.2,0.6,0.4,0.2,7860.0,62443.39568044922
0.003464017082894562,0.25,0.25,0.25,0.25,0.2,0.6,0.4,0.4,8640.0,64815.2412431836
0.0033954876290682354,0.25,0.25,0.25,0.25,0.2,0.6,0.4,0.6,9420.0,67187.08680591796
0.004289540556823529,0.25,0.25,0.25,0.25,0.2,0.6,0.6,0.2,8640.0,64815.2412431836
0.00358830865494748,0.25,0.25,0.25,0.25,0.2,0.6,0.6,0.4,9420.0,67187.08680591796
0.0035153554883428782,0.25,0.25,0.25,0.25,0.2,0.6,0.6,0.6,10200.0,69558.93236865234
0.0056128468576907165,0.25,0.25,0.25,0.25,0.4,0.2,0.2,0.2,6300.0,57699.70455498048
0.004334438085071692,0.25,0.25,0.25,0.25,0.4,0.2,0.2,0.4,7080.0,60071.55011771484
0.004198881645778919,0.25,0.25,0.25,0.25,0.4,0.2,0.2,0.6,7860.0,62443.39568044922
0.005843572578323062,0.25,0.25,0.25,0.25,0.4,0.2,0.4,0.2,7080.0,60071.55011771484
0.0044417871562487605,0.25,0.25,0.25,0.25,0.4,0.2,0.4,0.4,7860.0,62443.39568044922
0.00426645933399504,0.25,0.25,0.25,0.25,0.4,0.2,0.4,0.6,8640.0,64815.2412431836
